FID,height,area,Additional_water,Ponding_level,Average_ponding_depth
0,75,2500.0,256.99999999998994,75.257,0.01285
1,75,937.5,1205.0999999999995,76.205,0.18282
4,73,625.0,3017.1999999983514,76.017,0.20651
5,73,13437.5,60.60000000000059,73.061,0.01627
7,73,2656.25,2484.7999999988356,75.485,0.6167
8,78,12031.25,65.10000000000058,78.065,0.01565
9,72,2031.25,2495.299999998826,74.495,0.32494
10,71,781.25,3010.5999999983574,74.011,0.13111
12,75,1093.75,769.8000000001065,75.77,0.01684
13,76,2968.75,2003.5999999992732,78.004,0.04561
15,68,156.25,6281.30000000532,74.281,0.69548
16,71,156.25,4551.3999999990265,75.551,0.14684
18,73,312.5,1000.1000000001588,74.0,0.00625
19,72,937.5,2793.199999998555,74.793,0.60456
20,76,1250.0,2016.999999999261,78.017,0.02062
21,71,312.5,3099.2999999982767,74.099,0.12277
22,63,1250.0,6410.700000005791,69.411,1.05604
23,72,3906.25,1787.5999999994697,73.788,0.61956
24,77,5468.75,1003.2000000001595,78.003,0.01227
25,72,8750.0,2089.0999999991955,74.089,0.24188
26,61,312.5,4523.299999998924,65.523,0.11246
31,72,2343.75,2088.499999999196,74.088,0.23811
31,73,11562.5,1088.5000000001055,74.089,0.23811
32,72,937.5,333.0000000000072,72.333,0.00624
33,78,5000.0,1381.399999999839,79.381,0.36579
34,72,5781.25,9.399999999999983,72.009,0.00108
39,77,12031.25,995.5000000001578,77.996,0.23953
40,71,2812.5,2097.399999999188,73.097,0.39753
42,68,468.75,1858.1999999994055,69.858,0.07106
45,79,12968.75,517.8000000000492,79.518,0.13429
46,77,937.5,914.1000000001393,77.914,0.01714
49,71,1250.0,2008.6999999992686,73.009,0.02038
52,74,1093.75,3050.799999998321,77.051,0.06284
53,76,3281.25,1123.8000000000734,77.124,0.0954
54,69,1718.75,2952.1999999984105,71.952,0.22825
55,58,937.5,3783.099999997655,61.783,0.44621
59,79,937.5,1645.9999999995985,80.646,0.27106
60,62,3593.75,2210.8999999990847,64.211,0.55243
61,63,1875.0,1684.999999999563,64.685,0.25582
62,77,10781.25,1016.2000000001625,78.016,0.02296
63,78,625.0,2137.799999999151,80.138,0.26965
65,70,937.5,1006.1000000001602,71.006,0.01977
68,69,156.25,1980.8999999992939,70.981,0.00926
71,63,12187.5,69.00000000000036,63.069,0.01682
73,58,3906.25,3208.899999998177,61.209,0.44013
76,70,1250.0,1192.8000000000106,71.193,0.05873
78,57,781.25,2423.899999998891,59.424,0.1168
79,78,3593.75,56.80000000000054,78.057,0.00408
83,58,937.5,3061.799999998311,61.062,0.51507
87,72,6718.75,187.8999999999936,72.188,0.02525
88,70,1718.75,636.2000000000761,70.636,0.02187
90,61,781.25,1823.3999999994371,62.823,0.14428
91,79,11875.0,993.9000000001574,79.994,0.23605
93,60,1250.0,2048.799999999232,62.049,0.25251
97,69,1250.0,1300.199999999913,70.3,0.10285
99,59,625.0,2036.799999999243,61.037,0.06291
100,64,8906.25,129.39999999999694,64.129,0.02305
101,79,4375.0,1079.7000000001135,80.08,0.13804
102,69,625.0,2087.599999999197,71.088,0.10197
107,61,75468.75,209.49999999999238,61.209,0.20945
109,78,781.25,2894.599999998463,80.895,0.16741
110,61,7343.75,2076.399999999207,63.076,0.30778
111,78,7343.75,59.90000000000058,78.06,0.00879
112,70,5000.0,1181.7000000000207,71.182,0.27257
116,58,156.25,3836.499999997606,61.836,0.34724
116,61,10156.25,836.5000000001216,61.837,0.34724
117,69,3125.0,1054.900000000136,70.055,0.07622
118,80,12031.25,68.90000000000036,80.069,0.01658
120,65,14218.75,140.3999999999963,65.14,0.03991
121,61,625.0,274.99999999999403,61.275,0.00344
122,69,4843.75,435.8000000000306,69.436,0.04221
127,70,781.25,1020.0000000001634,71.02,0.02994
128,70,5156.25,1153.6000000000463,71.154,0.23751
129,62,1718.75,2283.6999999990185,64.284,0.48224
130,63,468.75,1081.300000000112,64.081,0.01648
131,59,4687.5,2229.4999999990678,61.229,0.62154
132,60,625.0,2531.2999999987933,62.531,0.51539
134,70,3593.75,1052.6000000001382,71.053,0.0891
135,61,3593.75,1732.0999999995202,62.732,0.41958
136,68,1093.75,1146.1000000000531,69.146,0.08671
137,58,1093.75,69.80000000000031,58.07,0.00153
140,69,1093.75,2054.499999999227,71.054,0.14471
140,70,12812.5,1054.5000000001364,71.055,0.14471
143,61,5781.25,1143.6000000000554,62.144,0.22416
146,70,3593.75,1065.5000000001264,71.066,0.07126
147,68,156.25,31.800000000000182,68.032,0.0001
149,51,312.5,16.19999999999996,51.016,0.0001
154,60,2656.25,281.9999999999956,60.282,0.01498
155,69,625.0,2067.399999999215,71.067,0.07458
156,61,7187.5,1.2,61.001,0.00016
161,63,156.25,5480.600000002407,68.481,0.61105
162,80,2031.25,1110.5000000000855,81.111,0.14866
163,69,781.25,1.9000000000000006,69.002,3e-05
168,59,3281.25,1137.2000000000612,60.137,0.10291
169,68,156.25,2015.0999999992628,70.015,0.11517
176,61,6875.0,45.70000000000038,61.046,0.00628
177,67,1875.0,775.4000000001078,67.775,0.02907
179,60,5156.25,460.1000000000361,60.46,0.04744
181,69,4218.75,105.1999999999983,69.105,0.00888
182,65,2187.5,1141.2000000000576,66.141,0.06492
186,60,2968.75,781.2000000001091,60.781,0.04638
188,68,937.5,1594.4999999996453,69.594,0.13206
188,69,8593.75,594.5000000000666,69.595,0.13206
189,68,3437.5,1056.7000000001344,69.057,0.12008
190,69,13750.0,44.50000000000036,69.044,0.01223
191,125,1562.5,114.29999999999778,125.114,0.00357
195,60,1875.0,90.49999999999913,60.09,0.00339
198,58,625.0,520.2000000000497,58.52,0.0065
200,80,18281.25,83.19999999999955,80.083,0.0304
202,60,4531.25,55.70000000000052,60.056,0.00504
206,68,2968.75,1112.7000000000835,69.113,0.13574
209,67,3437.5,233.39999999999102,67.233,0.01604
210,57,1562.5,57.50000000000055,57.057,0.0018
214,68,10625.0,1318.9999999998959,69.319,0.51777
218,64,1250.0,352.6000000000117,64.353,0.00881
219,59,468.75,595.4000000000668,59.595,0.00558
221,84,7343.75,0.7,84.001,0.0001
225,66,2968.75,1447.2999999997792,67.447,0.26062
230,66,1250.0,1114.7000000000817,67.115,0.05044
232,72,4843.75,0.5,72.001,4e-05
233,66,4843.75,1494.9999999997358,67.495,0.55929
234,60,6093.75,527.0000000000513,60.527,0.06422
236,120,1406.25,5.1999999999999975,120.005,0.00015
237,81,5000.0,8.999999999999984,81.009,0.00089
239,60,4843.75,684.000000000087,60.684,0.06626
241,79,3750.0,203.09999999999275,79.203,0.01523
242,67,1718.75,91.39999999999908,67.091,0.00314
243,66,625.0,2522.1999999988016,68.522,0.6489
245,83,3281.25,1.8000000000000005,83.002,0.00011
246,59,625.0,1238.9999999999686,60.239,0.05357
248,66,781.25,627.3000000000741,66.627,0.0098
249,95,11250.0,28.700000000000138,95.029,0.00645
251,82,312.5,58.50000000000056,82.058,0.00037
254,67,781.25,1257.6999999999516,68.258,0.02931
255,94,6406.25,199.89999999999293,94.2,0.0256
257,87,937.5,2669.5999999986675,89.67,0.95337
258,95,2031.25,175.9999999999943,95.176,0.00715
260,79,3593.75,101.79999999999849,79.102,0.00732
261,67,4062.5,102.19999999999847,67.102,0.0083
263,66,7968.75,1443.199999999783,67.443,0.50556
264,67,6250.0,16.399999999999963,67.016,0.00205
266,67,1093.75,2301.2999999990025,69.301,0.17664
268,68,17187.5,367.50000000001506,68.368,0.12633
269,74,625.0,5446.100000002281,79.446,0.86992
273,95,15000.0,16.699999999999967,95.017,0.00499
274,67,781.25,1128.1000000000695,68.128,0.04843
275,58,1562.5,689.1000000000881,58.689,0.02153
276,65,1250.0,1296.4999999999163,66.296,0.16117
278,88,9375.0,0.1,88.0,0.0
280,82,937.5,50.400000000000446,82.05,0.00094
281,60,1093.75,710.0000000000929,60.71,0.01553
282,71,1093.75,81.39999999999965,71.081,0.00178
283,79,937.5,1140.3000000000584,80.14,0.04679
285,63,937.5,4564.299999999073,67.564,1.26597
287,81,7812.5,25.40000000000009,81.025,0.00396
291,85,1718.75,88.79999999999923,85.089,0.00305
292,62,18750.0,16.99999999999997,62.017,0.00636
293,68,15312.5,1049.1000000001413,69.049,0.08135
295,68,4531.25,1435.7999999997896,69.436,0.46512
296,66,937.5,1487.1999999997429,67.487,0.15881
297,59,8593.75,17.399999999999977,59.017,0.00298
298,65,1093.75,3920.9999999975294,68.921,1.42552
299,60,12031.25,17.199999999999974,60.017,0.00413
301,69,1093.75,1844.7999999994177,70.845,0.29115
302,65,7343.75,1302.299999999911,66.302,0.42308
307,77,937.5,2898.3999999984594,79.898,0.4657
309,58,1562.5,215.59999999999204,58.216,0.00674
310,94,1250.0,106.39999999999823,94.106,0.00266
311,67,625.0,2615.199999998717,69.615,0.75713
312,65,5625.0,1061.60000000013,66.062,0.1704
317,108,1875.0,801.8000000001138,108.802,0.03007
318,83,5156.25,74.50000000000004,83.075,0.00768
320,96,625.0,1206.9999999999977,97.207,0.03513
321,63,312.5,1166.000000000035,64.166,0.04721
323,63,156.25,2745.899999998598,65.746,0.43399
324,67,6093.75,1858.4999999994052,68.858,0.77104
324,68,31718.75,858.5000000001266,68.859,0.77104
325,82,6250.0,356.10000000001247,82.356,0.0445
326,95,2500.0,169.09999999999468,95.169,0.00845
327,101,4375.0,499.200000000045,101.499,0.04367
328,80,156.25,2.2000000000000006,80.002,1e-05
329,57,1093.75,1006.6000000001603,58.007,0.02257
330,71,312.5,1248.2999999999602,72.248,0.08382
331,58,2968.75,1170.400000000031,59.17,0.22
332,114,3593.75,485.70000000004194,114.486,0.03491
333,64,2656.25,1717.899999999533,65.718,0.35147
334,64,1562.5,9.299999999999983,64.009,0.00029
336,79,312.5,66.5000000000005,79.067,0.00042
337,65,3437.5,1512.1999999997201,66.512,0.57773
338,61,6718.75,65.00000000000058,61.065,0.00872
339,72,2656.25,867.1000000001286,72.867,0.04606
340,65,4843.75,1850.899999999412,66.851,0.72435
341,55,781.25,1693.9999999995548,56.694,0.0655
342,64,2500.0,16.79999999999997,64.017,0.00084
344,78,468.75,36.10000000000024,78.036,0.00034
346,75,156.25,5028.700000000763,80.029,0.11059
348,58,625.0,90.39999999999914,58.09,0.00113
349,65,8593.75,1029.9000000001588,66.03,0.12771
350,66,1718.75,166.19999999999484,66.166,0.00571
352,63,312.5,3078.4999999982956,66.078,0.31168
352,65,14531.25,1078.5000000001146,66.079,0.31168
353,76,781.25,808.5000000001153,76.809,0.01263
354,99,1718.75,1042.0000000001478,100.042,0.04605
356,58,1562.5,1180.6000000000217,59.181,0.17229
359,65,781.25,73.6000000000001,65.074,0.00115
360,63,781.25,415.90000000002607,63.416,0.0065
361,79,625.0,954.5000000001485,79.955,0.01193
362,62,1250.0,329.10000000000633,62.329,0.00823
364,78,312.5,2055.0999999992264,80.055,0.03174
365,90,781.25,24.00000000000007,90.024,0.00037
369,69,4843.75,1240.3999999999673,70.24,0.26809
371,59,1875.0,95.69999999999884,59.096,0.00359
372,110,1718.75,866.0000000001284,110.866,0.02977
373,64,16250.0,1121.7000000000753,65.122,0.29914
374,63,4375.0,1371.9999999998477,64.372,0.29788
376,100,781.25,543.500000000055,100.544,0.00849
378,56,781.25,2085.4999999991987,58.085,0.15054
378,57,3281.25,1085.5000000001082,58.086,0.15054
379,96,5312.5,678.0000000000856,96.678,0.07203
380,71,625.0,1270.0999999999403,72.27,0.12222
382,60,1562.5,94.39999999999891,60.094,0.00295
